chr1	start1	end1	chr2	start2	end2	CTCF_WT_10K.P2P_ChIPCov1	CTCF_WT_10K.P2P_ChIPCov2	CTCF_IKDN_10K.P2P_ChIPCov1	CTCF_IKDN_10K.P2P_ChIPCov2	Bin1_Label	Bin2_Label	CTCF_WT_10K.P2P_R1_RawCC	CTCF_WT_10K.P2P_R1_QVal	CTCF_WT_10K.P2P_R2_RawCC	CTCF_WT_10K.P2P_R2_QVal	CTCF_IKDN_10K.P2P_R1_RawCC	CTCF_IKDN_10K.P2P_R1_QVal	CTCF_IKDN_10K.P2P_R2_RawCC	CTCF_IKDN_10K.P2P_R2_QVal	logFC	logCPM	pvalue	FDR	FDR_IHW	CTCF_WT_10K.P2P_SigRepl	CTCF_IKDN_10K.P2P_SigRepl	Label_Anch1	Gene_Anch1	PromType_Anch1	EnhType_Anch1	Label_Anch2	Gene_Anch2	PromType_Anch2	EnhType_Anch2	CTCF_WT_851_7001_OE	CTCF_D0_OE	CTCF_D3_OE	CTCF_D12_OE	CTCF_IKDN_852_7002_OE
chr1	106070000	106080000	chr1	106500000	106510000	446	78.5	446	62.5	LD	LD	0	1	0	1	20	1.5433065824e-07	15	0.00112710109805015	-7.20011997215005	-0.77414167890679	7.913511738e-08	2.464572376026e-05	1.107049547698e-05	0	2	P	Gm37372	CTCF_pos		S				10.2570457458496	6.38068008422852	7.15392303466797	27.3080615997315	17.6484642028809
chr1	106150000	106160000	chr1	106270000	106280000	468.5	97.5	481.5	109	LD	LD	0	1	0	1	18	0.00636631378813491	16	0.0332034771390951	-7.15397736231463	-0.81192957138172	1.3125866218e-07	3.855859002256e-05	1.735096553633e-05	0	1	E			Active_CTCF_pos	E			Active_CTCF_pos	5.60954809188843	5.83864545822144	5.65752172470093	5.11903762817383	4.44100713729858
chr1	106170000	106180000	chr1	106270000	106280000	467	97.5	486	109	ND	LD	0	1	0	1	35	4.67939369e-09	36	4.610265e-11	-8.207068378735	0.104453837604188	5.8e-16	7.3324e-13	3.2973e-13	0	2	P	Gm20753,Phlpp1	CTCF_pos		E			Active_CTCF_pos	6.51607036590576	6.16298770904541	3.97839212417603	7.6850643157959	9.25791645050049
chr1	106420000	106430000	chr1	106500000	106510000	453	78.5	546	62.5	LD	LD	0	1	0	1	45	3.550498468e-08	39	4.22824190468e-06	-8.45389031941913	0.330127964151182	0	4.5e-16	2e-16	0	2	S				S				8.05457878112793	3.82803678512573	5.8278956413269	9.48141574859619	9.30562019348145
chr1	106500000	106510000	chr1	106540000	106550000	78.5	513	62.5	632.5	LD	LD	0	1	0	1	67	5.07170116056e-06	56	0.00019585311429751	-9.00397873748117	0.843996876304853	0	0	0	0	2	S				P	D630008O14Rik,Mir3473f	CTCF_pos		6.11893224716187	6.1585693359375	6.52659797668457	7.07389497756958	7.72695636749268
chr1	106500000	106510000	chr1	106710000	106720000	78.5	706	62.5	810.5	LD	LD	0	1	0	1	63	0	62	0	-9.02236241104974	0.861441404042598	0	0	0	0	2	S				P	Bcl2	CTCF_pos		15.8048076629639	14.2783679962158	19.8870048522949	21.8248710632324	28.347900390625
chr1	106500000	106510000	chr1	106730000	106740000	78.5	668	62.5	752.5	LD	LD	0	1	0	1	42	0	32	9.9456e-13	-8.27522283500363	0.166174954218383	8e-17	1.14e-13	4.794e-14	0	2	S				S				16.3991260528564	16.9266796112061	16.1590995788574	16.3671073913574	15.7834968566895
chr1	106500000	106510000	chr1	106810000	106820000	78.5	302.5	62.5	306	LD	LD	0	1	0	1	9	0.168763104608917	18	1.363264758185e-05	-6.80295516361536	-1.09272622175293	3.63130275383e-06	0.00070887137697499	0.00029876262253645	0	1	S				E			Active_CTCF_pos	9.17826175689697	15.7605562210083	7.6501317024231	12.1045608520508	10.4792337417603
chr1	111840000	111850000	chr1	111860000	111870000	55.5	222	85	458.5	ND	LD	0	1	10	0.994929231029963	28	0.117914680075396	27	0.00642214941659999	-2.56569901035378	-0.0273929114321148	5.998836082777e-05	0.00758593591255291	0.00340503621353052	0	1	S				P	Dsel	CTCF_pos		0.971309781074524	1.59677278995514	1.2251763343811	1.25064814090729	2.20359587669373
chr1	111840000	111850000	chr1	112370000	112380000	55.5	146	85	357	ND	LD	0	1	0	1	9	0.00146713206830858	8	0.00436828079007056	-6.16355707377321	-1.57018142156306	0.00023542939677459	0.0232958480647209	0.0105813010371033	0	2	S				S				5.10189247131348	5.99244070053101	2.30457663536072	9.29174518585205	10.8566198348999
