chr1	start1	end1	chr2	start2	end2	H3K27Ac_WT_FITHICHIP.10K.P2AS.NOVA_ChIPCov1	H3K27Ac_WT_FITHICHIP.10K.P2AS.NOVA_ChIPCov2	H3K27AC_IKDN_FITHICHIP.10K.P2AS.NOVA_ChIPCov1	H3K27AC_IKDN_FITHICHIP.10K.P2AS.NOVA_ChIPCov2	Bin1_Label	Bin2_Label	H3K27Ac_WT_FITHICHIP.10K.P2AS.NOVA_R1_RawCC	H3K27Ac_WT_FITHICHIP.10K.P2AS.NOVA_R1_QVal	H3K27Ac_WT_FITHICHIP.10K.P2AS.NOVA_R2_RawCC	H3K27Ac_WT_FITHICHIP.10K.P2AS.NOVA_R2_QVal	H3K27AC_IKDN_FITHICHIP.10K.P2AS.NOVA_R1_RawCC	H3K27AC_IKDN_FITHICHIP.10K.P2AS.NOVA_R1_QVal	H3K27AC_IKDN_FITHICHIP.10K.P2AS.NOVA_R2_RawCC	H3K27AC_IKDN_FITHICHIP.10K.P2AS.NOVA_R2_QVal	logFC	logCPM	pvalue	FDR	FDR_IHW	H3K27Ac_WT_FITHICHIP.10K.P2AS.NOVA_SigRepl	H3K27AC_IKDN_FITHICHIP.10K.P2AS.NOVA_SigRepl	Label_Anch1	Gene_Anch1	PromType_Anch1	EnhType_Anch1	Label_Anch2	Gene_Anch2	PromType_Anch2	EnhType_Anch2	id
chr1	4540000	4550000	chr1	4580000	4590000	136	464	106.5	325	LD	LD	0	1	0	1	129	5.09532e-07	100	7.50957e-05	-9.902948446	0.24496834	0	0	0	0	2	E		NA	Active_CTCF_pos	P	Gm37323	CTCF_neg	NA	chr1-4540000-4550000-chr1-4580000-4590000
chr1	4580000	4590000	chr1	4780000	4790000	464	539.5	325	575	LD	LD	6	1	16	1	45	0.000204015	40	0.004516994	-2.044764231	-0.828964028	7.75292e-05	0.006197558	0.002704796	0	2	P	Gm37323	CTCF_neg	NA	P	Mrpl15	CTCF_pos	NA	chr1-4580000-4590000-chr1-4780000-4790000
chr1	6210000	6220000	chr1	6780000	6790000	1052	406	1107.5	169.5	ND	LD	18	1	9	1	27	2.85699e-06	31	1.53884e-06	-1.1641919	-1.145514077	0.037140309	0.611797736	0.251378279	0	2	P	Rb1cc1,4732440D04Rik	CTCF_pos	NA	E		NA	Active_CTCF_pos	chr1-6210000-6220000-chr1-6780000-6790000
chr1	6380000	6390000	chr1	6760000	6770000	147	1030	149	814.5	LD	LD	17	1	8	1	32	1.86899e-08	39	2.38725e-12	-1.561427802	-0.982623606	0.003501079	0.129542848	0.055273175	0	2	P	Gm2147,Gm7417	CTCF_pos	NA	E		NA	Active_CTCF_pos	chr1-6380000-6390000-chr1-6760000-6770000
chr1	6380000	6390000	chr1	6820000	6830000	147	1272.5	149	1002	LD	LD	9	1	16	0.034087693	37	1.9132e-12	36	1.33311e-10	-1.633720145	-0.953023603	0.002067577	0.086651531	0.037755636	0	2	P	Gm2147,Gm7417	CTCF_pos	NA	P	St18	CTCF_pos	NA	chr1-6380000-6390000-chr1-6820000-6830000
chr1	6380000	6390000	chr1	6850000	6860000	147	393	149	302.5	LD	LD	9	1	8	0.417366261	16	0.000110601	21	6.05932e-08	-1.181992133	-1.738596237	0.086773366	0.78174212	0.430889028	0	2	P	Gm2147,Gm7417	CTCF_pos	NA	P	St18	CTCF_pos	NA	chr1-6380000-6390000-chr1-6850000-6860000
chr1	6400000	6410000	chr1	6750000	6760000	511	393.5	548.5	219.5	LD	LD	18	1	11	0.383766463	30	3.97902e-07	32	8.20395e-08	-1.164495843	-1.053903326	0.031215865	0.551888917	0.21718174	0	2	E		NA	Active_CTCF_pos	E		NA	Active_CTCF_neg	chr1-6400000-6410000-chr1-6750000-6760000
chr1	6400000	6410000	chr1	6780000	6790000	511	406	548.5	169.5	LD	LD	12	1	13	1	94	0	82	0	-2.898647373	0.046428126	9.2954e-13	4.66376e-10	2.03549e-10	0	2	E		NA	Active_CTCF_pos	E		NA	Active_CTCF_pos	chr1-6400000-6410000-chr1-6780000-6790000
chr1	6400000	6410000	chr1	6840000	6850000	511	172	548.5	145.5	LD	LD	23	0.947508001	30	0.016374969	42	0.00037854	44	0.000181261	-0.7850728	-0.491098417	0.073735916	0.78174212	0.38889986	0	2	E		NA	Active_CTCF_pos	S		NA	NA	chr1-6400000-6410000-chr1-6840000-6850000
chr1	6400000	6410000	chr1	7390000	7400000	511	646	548.5	794	LD	LD	6	0.526361113	9	0.014231257	12	0.000132437	13	4.30366e-05	-0.815531681	-2.109802595	0.29530072	0.78174212	0.811238936	0	2	E		NA	Active_CTCF_pos	P	Gm26901	CTCF_pos	NA	chr1-6400000-6410000-chr1-7390000-7400000
chr1	6400000	6410000	chr1	9540000	9550000	511	924	548.5	1154.5	LD	LD	5	1	8	0.030661366	11	0.000372023	9	0.008258379	-0.712290366	-2.333291408	0.396164067	0.78174212	0.885889285	0	2	E		NA	Active_CTCF_pos	P	Rrs1,Adhfe1	CTCF_pos	NA	chr1-6400000-6410000-chr1-9540000-9550000
chr1	6410000	6420000	chr1	6650000	6660000	288	822	345.5	743	LD	LD	14	1	25	0.01877438	50	1.7042e-11	39	1.48816e-06	-1.294226722	-0.589407018	0.004966878	0.165621109	0.066323954	0	2	E		NA	Active_CTCF_pos	E		NA	Active_CTCF_neg	chr1-6410000-6420000-chr1-6650000-6660000
chr1	6410000	6420000	chr1	6750000	6760000	288	393.5	345.5	219.5	LD	LD	1	1	11	0.085586786	26	2.61598e-08	21	5.40445e-05	-2.066981048	-1.610965179	0.002615613	0.10405319	0.045409734	0	2	E		NA	Active_CTCF_pos	E		NA	Active_CTCF_neg	chr1-6410000-6420000-chr1-6750000-6760000
chr1	6410000	6420000	chr1	6780000	6790000	288	406	345.5	169.5	LD	LD	6	1	7	1	41	3.8e-16	34	3.92313e-11	-2.603427521	-1.080620813	8.65043e-06	0.000964093	0.000419774	0	2	E		NA	Active_CTCF_pos	E		NA	Active_CTCF_pos	chr1-6410000-6420000-chr1-6780000-6790000
chr1	6410000	6420000	chr1	6810000	6820000	288	366.5	345.5	226	LD	LD	4	1	13	0.022077046	26	9.39086e-09	24	4.39419e-07	-1.648993434	-1.454148762	0.009532926	0.265622647	0.101512671	0	2	E		NA	Active_CTCF_pos	P	St18	CTCF_neg	NA	chr1-6410000-6420000-chr1-6810000-6820000
chr1	6420000	6430000	chr1	6820000	6830000	103	1272.5	93	1002	LD	LD	25	1	24	1	48	0.004223581	55	0.000964543	-1.147125478	-0.365164594	0.006817177	0.206554303	0.081278073	0	2	O		NA	NA	P	St18	CTCF_pos	NA	chr1-6420000-6430000-chr1-6820000-6830000
chr1	6650000	6660000	chr1	6750000	6760000	822	393.5	743	219.5	LD	LD	40	1	26	1	95	9.927e-14	85	3.08515e-10	-1.528768851	0.317708817	1.25769e-05	0.001329249	0.000580328	0	2	E		NA	Active_CTCF_neg	E		NA	Active_CTCF_neg	chr1-6650000-6660000-chr1-6750000-6760000
chr1	6650000	6660000	chr1	6780000	6790000	822	406	743	169.5	LD	LD	46	1	44	1	107	2.285e-14	106	2.6e-15	-1.327299106	0.601961055	3.38319e-05	0.003081824	0.001342075	0	2	E		NA	Active_CTCF_neg	E		NA	Active_CTCF_pos	chr1-6650000-6660000-chr1-6780000-6790000
chr1	6750000	6760000	chr1	6850000	6860000	393.5	393	219.5	302.5	LD	LD	11	1	20	0.452191685	47	0.00544636	48	0.002183762	-1.703459415	-0.615033361	0.000308513	0.019289032	0.008398927	0	2	E		NA	Active_CTCF_neg	P	St18	CTCF_pos	NA	chr1-6750000-6760000-chr1-6850000-6860000
chr1	6760000	6770000	chr1	6780000	6790000	1030	406	814.5	169.5	LD	LD	93	1	94	1	368	4.52718e-12	337	6.50935e-10	-2.005657044	2.146546197	0	1.46e-15	6.3e-16	0	2	E		NA	Active_CTCF_pos	E		NA	Active_CTCF_pos	chr1-6760000-6770000-chr1-6780000-6790000
chr1	6760000	6770000	chr1	6810000	6820000	1030	366.5	814.5	226	LD	LD	60	0.022006019	51	1	160	3.33168e-06	143	0.001327697	-1.536648871	1.049776735	7.30467e-08	1.44283e-05	6.27895e-06	0	2	E		NA	Active_CTCF_pos	P	St18	CTCF_neg	NA	chr1-6760000-6770000-chr1-6810000-6820000
chr1	6760000	6770000	chr1	7090000	7100000	1030	694	814.5	946	LD	LD	22	0.887928446	10	1	35	0.000540526	41	7.94616e-05	-1.307106105	-0.824980178	0.009073848	0.258377962	0.098227238	0	2	E		NA	Active_CTCF_pos	E		NA	Active_CTCF_pos	chr1-6760000-6770000-chr1-7090000-7100000
chr1	6780000	6790000	chr1	6820000	6830000	406	1272.5	169.5	1002	LD	LD	50	1	78	1	321	0	269	3.06338e-10	-2.308245663	1.841496552	0	1e-17	0	0	2	E		NA	Active_CTCF_pos	P	St18	CTCF_pos	NA	chr1-6780000-6790000-chr1-6820000-6830000
chr1	6820000	6830000	chr1	6850000	6860000	1272.5	393	1002	302.5	LD	LD	83	0.023951987	91	1	295	1.113e-14	282	1.8725e-13	-1.8198498	1.896406479	2.576e-14	1.62525e-11	7.0765e-12	0	2	P	St18	CTCF_pos	NA	P	St18	CTCF_pos	NA	chr1-6820000-6830000-chr1-6850000-6860000
chr1	7080000	7090000	chr1	7130000	7140000	1119.5	234.5	1417	312.5	ND	LD	137	1	145	0.016761417	92	0.007550578	120	5.95732e-05	0.336667209	1.262912739	0.204486679	0.78174212	0.685015645	0	2	P	Pcmtd1	CTCF_pos	NA	P	Gm26983	CTCF_neg	NA	chr1-7080000-7090000-chr1-7130000-7140000
chr1	9630000	9640000	chr1	9700000	9710000	599	732.5	713.5	859	LD	ND	73	1	82	1	131	1.2738e-05	129	3.67259e-08	-0.835721107	1.038815151	0.002917533	0.112774678	0.049113488	0	2	P	2610203C22Rik	CTCF_neg	NA	P	Mybl1	CTCF_pos	NA	chr1-9630000-9640000-chr1-9700000-9710000
chr1	9820000	9830000	chr1	10030000	10040000	473.5	1437.5	451.5	1641	ND	ND	62	0.145060038	54	0.170573871	49	0.001559806	75	1.15403e-08	-0.158765775	0.249516613	0.647327204	0.846364127	0.960283086	0	2	E		NA	Active_CTCF_pos	P	Cops5,Cspp1	CTCF_pos	NA	chr1-9820000-9830000-chr1-10030000-10040000
chr1	9840000	9850000	chr1	9940000	9950000	646	842	565	1058.5	ND	LD	89	0.195409778	66	1	74	6.96991e-07	79	3.32567e-05	-0.058636946	0.609015884	0.851376717	0.960691182	1	0	2	P	Sgk3	CTCF_pos	NA	P	Snhg6,Snord87	CTCF_pos	NA	chr1-9840000-9850000-chr1-9940000-9950000
chr1	11660000	11670000	chr1	12280000	12290000	64.5	761	67.5	556.5	ND	LD	0	1	0	1	27	1.4259e-07	35	9.3904e-13	-7.995492277	-1.546759512	3.11445e-12	1.43709e-09	6.25651e-10	0	2	O		NA	NA	E		NA	Active_CTCF_pos	chr1-11660000-11670000-chr1-12280000-12290000
chr1	12280000	12290000	chr1	12550000	12560000	761	158.5	556.5	98	LD	LD	0	1	0	1	87	6.63508e-05	48	3.29e-15	-9.157617825	-0.471758684	0	0	0	0	2	E		NA	Active_CTCF_pos	E		NA	Active_CTCF_pos	chr1-12280000-12290000-chr1-12550000-12560000
chr1	12280000	12290000	chr1	12810000	12820000	761	127.5	556.5	98	LD	ND	0	1	0	1	23	5.2268e-10	31	2.48331e-06	-7.795188741	-1.72436041	8.87531e-11	3.19022e-08	1.38941e-08	0	2	E		NA	Active_CTCF_pos	E		NA	Active_CTCF_neg	chr1-12280000-12290000-chr1-12810000-12820000
chr1	12280000	12290000	chr1	12830000	12840000	761	101.5	556.5	85	LD	LD	0	1	0	1	28	4.1e-16	21	0.002972743	-7.683964001	-1.823710144	4.8828e-10	1.52253e-07	6.65146e-08	0	2	E		NA	Active_CTCF_pos	P	Sulf1	CTCF_pos	NA	chr1-12280000-12290000-chr1-12830000-12840000
chr1	12280000	12290000	chr1	13590000	13600000	761	1395.5	556.5	1565.5	LD	ND	0	1	1	1	21	9.13812e-07	18	2.35796e-05	-5.065255972	-2.081612492	1.42606e-06	0.000199881	8.70487e-05	0	2	E		NA	Active_CTCF_pos	E		NA	Active_CTCF_pos	chr1-12280000-12290000-chr1-13590000-13600000
chr1	12980000	12990000	chr1	13590000	13600000	285.5	1395.5	474.5	1565.5	LD	ND	4	1	3	1	31	3.05989e-10	15	0.009852173	-2.788874916	-1.719551146	0.00019555	0.013260413	0.005770545	0	2	E		NA	Active_CTCF_pos	E		NA	Active_CTCF_pos	chr1-12980000-12990000-chr1-13590000-13600000
chr1	12990000	13000000	chr1	13600000	13610000	347	550.5	463	500.5	LD	LD	14	0.023878061	5	1	29	7.36222e-09	16	0.008676188	-1.330971682	-1.492310218	0.03699125	0.609618615	0.25120579	0	2	P	Slco5a1	CTCF_pos	NA	E		NA	Active_CTCF_neg	chr1-12990000-13000000-chr1-13600000-13610000
chr1	12990000	13000000	chr1	13660000	13670000	347	480.5	463	551.5	LD	LD	11	0.039950456	11	1	19	9.57232e-05	16	0.000603764	-0.757396687	-1.663407373	0.254658031	0.78174212	0.767330658	0	2	P	Slco5a1	CTCF_pos	NA	P	Lactb2,Xkr9	CTCF_pos	NA	chr1-12990000-13000000-chr1-13660000-13670000
chr1	13160000	13170000	chr1	13600000	13610000	479	550.5	407	500.5	LD	LD	19	0.042997742	18	0.053905946	34	6.6667e-10	21	0.003993171	-0.676369901	-1.032627052	0.202012841	0.78174212	0.677923261	0	2	E		NA	Active_CTCF_neg	E		NA	Active_CTCF_neg	chr1-13160000-13170000-chr1-13600000-13610000
